code,name,gradeLevel,cadre,department
CART_C_3,CARTOGRAGPIC OFFICER IV,3,C,CART
CART_C_4,CARTOGRAGPIC OFFICER III,4,C,CART
CART_C_5,CARTOGRAGPIC OFFICER II,5,C,CART
CART_C_6,CARTOGRAGPIC OFFICER I,6,C,CART
CART_E_10,PRINCIPAL CARTOGRAPHIC II OFFICER,10,E,CART
CART_E_12,PRINCIPAL CARTOGRAPHIC I OFFICER,12,E,CART
CART_E_13,ASST  CHIEF CARTOGRAPHIC OFFICER,13,E,CART
CART_E_14,CHIEF CARTOGRAPHIC OFFICER,14,E,CART
CART_E_6,ASST CARTOGRAPHER OFFICER,6,E,CART
CART_E_7,CARTOGRAPHIC OFFICER,7,E,CART
CART_E_8,HIGER CARTOGRAPHIC OFFICER,8,E,CART
CART_E_9,SENIOR  CARTOGRAPHIC  OFFICER,9,E,CART
CART_O_10,SENIOR CARTOGRAPHER,10,O,CART
CART_O_12,PRINCIPLE CARTOGRAPHER,12,O,CART
CART_O_13,ASST CHIEF CARTOGRAPHER,13,O,CART
CART_O_14,CHIEF CARTOGRAPHER,14,O,CART
CART_O_15,ASST PRINCIPLE CARTOGRAPHER,15,O,CART
CART_O_16,DEPUT DIRECTOR CARTOGRAPHY,16,O,CART
CART_O_17,DIRECTOR CARTOGRAPHY,17,O,CART
CART_O_8, CARTOGRAPHER II,8,O,CART
CART_O_9,CARTOGRAGHER I,9,O,CART
CENS_C_4,STATISTICAL ASSISTANT II,4,C,CENS
CENS_C_5,STATISTICAL ASSISTANT I,5,C,CENS
CENS_C_7,CHIEF STATISTICAL ASST,7,C,CENS
CENS_E_10,PRINCIPAL  STATISTICAL OFFICER II,10,E,CENS
CENS_E_12,PRINCIPAL  STATISTICAL OFFICER I,12,E,CENS
CENS_E_13,ASST CHIEF STATISTICAL OFFICER ,13,E,CENS
CENS_E_14,CHIEF STATISTICAL OFFICER ,14,E,CENS
CENS_E_6_1,ASST STATISTICIAL OFFICER,6,E,CENS
CENS_E_6_2,SENIOR STATISTICAL OFFICER,6,E,CENS
CENS_E_7,STATISTICAL OFFICER ,7,E,CENS
CENS_E_8,HIGHER STATISTICAL OFFICER ,8,E,CENS
CENS_E_9,SENIOR STATISTICAL OFFICER ,9,E,CENS
CENS_O_10,SENIOR STATISTICIAN ,10,O,CENS
CENS_O_12,PRINCIPAL STATISTICIAN ,12,O,CENS
CENS_O_13,ASSISTANT CHIEF STATISTICIAN ,13,O,CENS
CENS_O_14,CHIEF STATISTICIAN ,14,O,CENS
CENS_O_15,ASSISTANT DIRECTOR CENSUS,15,O,CENS
