name,code
ACCESS PENSIONS LIMITED,1
ARM PENSION MANAGERS LIMITED,2
CRUSADER STERLING PENSIONS LIMITED,3
FCMB PENSIONS LIMITED,4
FIDELITY PENSION MANAGERS LIMITED,5
GUARANTY TRUST PENSION MANAGERS LIMITED,6
LEADWAY PENSURE PFA LIMITED,7
NIGERIAN UNIVERSITY PENSION MANAGEMENT COMPANY (NUPEMCO),8
NLPC PENSION FUND ADMINISTRATORS LIMITED,9
NORRENBERGER PENSIONS LIMITED,10
NPF PENSIONS FUND ADMINISTRATORS LIMITED,11
OAK PENSIONS LIMITED,12
PENSIONS ALLIANCE LIMITED,13
PREMIUM PENSION LIMITED,14
RADIX PENSION MANAGERS LIMITED,15
STANBIC IBTC PENSION MANAGERS LIMITED,16
TANGERINE APT PENSIONS LIMITED,17
TRUSTFUND PENSIONS LIMITED,18
VERITAS GLANVILLS PENSIONS LIMITED,19
