name,code
ACCESS BANK NIGERIA PLC,44
DIAMOND BANK PLC,63
ECOBANK NIGERIA,50
ENTERPRISE BANK PLC,84
FIDELITY BANK PLC,70
FIRST BANK OF NIGERIA PLC,11
FIRST CITY MONUMENT BANK,214
GUARANTY TRUST BANK PLC,58
JAIZ BANK,301
KEYSTONE BANK LTD,82
MAINSTREET BANK PLC,14
SKYE BANK PLC,76
STANBIC IBTC PLC,39
STERLING BANK PLC,232
UNION BANK NIGERIA PLC,32
UNITED BANK FOR AFRICA PLC,33
UNITY BANK PLC,215
WEMA BANK PLC,35
ZENITH BANK INTERNATIONAL,57
PROVIDUS BANK,101
PARALLEX BANK LIMITED,104
LOTUS BANK LIMITED,303
PREMIUM TRUST BANK LTD,105
SIGNATURE BANK LTD,106
GLOBUS BANK,103
